"filename","title","keywords","descriptionen","descriptioncymraeg","facebooktitle","facebookdescription","facebookimage","facebookurl","whatnewenglish","whatnewcymraeg","datelastmodified","htmlcode"
"/albums.html","Albums/ Albwnau
","Y Cyrff, Y Cyrff Discography, Albums, Albwnau","Y Cyrff's album discography.","Discograffi albwm Y Cyrff.","Albums/ Albwnau
","Y Cyrff's album discography. Discograffi albwm Y Cyrff.","http://www.ycyrffgroupie.co.uk/images/rasal12.jpg",NULL,"Added to the database",NULL,"2012-08-18 21:27:24","<link rel=\"stylesheet\" type=\"text/css\" href=\"css/table.css\">"
"/band.html",,"Band landing page
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-30 18:22:22",
"/compilations.html","Compilations/ Amlgyfrannog
","Y Cyrff, Y Cyrff Discography","Y Cyrff's complication discography..","Discograffi amlgyfrannog Y Cyrff.","Compilations/ Amlgyfrannog
","Y Cyrff's complication discography.  Discograffi amlgyfrannog Y Cyrff.","http://www.ycyrffgroupie.co.uk/images/hwyl_fawr_heulwen.jpg",NULL,"Added to the database",NULL,"2012-08-18 21:27:24","<link rel=\"stylesheet\" type=\"text/css\" href=\"css/table.css\">"
"/contact.php",,"Y Cyrff, Contact me, Cysylltu a fi
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-15 21:46:10",
"/discography.html","Discography/Discograff
","Y Cyrff, Y Cyrff Discography, Discograff  Y Cyrff","Y Cyrff's discography
","Discograffi'r Cyrff.","Discography/Discograff
","Y Cyrff's discography. Discograffi'r Cyrff.","http://www.ycyrffrgroupie.co.uk/images/title.JPG",NULL,"Added to the database",NULL,"2012-08-18 21:27:24",
"/download.html","Downloads/Lawrlwythi
","Y Cyrff, Y Cyrff download, Y Cyrff Lawrlwythi
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Downloads/Lawrlwythi
","One of the only website about Y Cyrff.
","http://www.ycyrffrgroupie.co.uk/images/title.JPG",NULL,"Added to the database",NULL,"2012-08-18 21:27:24",
"/guestbook.html",,,,NULL,,,NULL,NULL,NULL,NULL,"2012-05-05 14:13:52",
"/index.html","Y Cyrff","Y Cyrff","One of the only website about Y Cyrff.","Un o'r unig we safle am Y Cyrff.","Y Cyrff","One of the only website about Y Cyrff. Un o'r unig we safle am Y Cyrff.","http://www.ycyrffrgroupie.co.uk/images/title.JPG","http://www.ycyrffgroupie.co.uk","Added to the database",NULL,"2012-08-18 21:27:25","<script type=\"text/javascript\">var switchTo5x=false;</script> <script type=\"text/javascript\" src=\"http://w.sharethis.com/button/buttons.js\"></script> <script type=\"text/javascript\">stLight.options({publisher: \"620950a8-f97c-45fb-a3d0-37ba22439251\"}); </script><meta property=\"fb:admins\" content=\"595456413\" />"
"/links.html","Links/Cysyllitiadau
","Y Cyrff, links, Cysyllitiadau
","Y Cyrff related links.","Y Cyrff sy'n gysylltiedig cysylltiadau.","Links/Cysyllitiadau
","Y Cyrff related links.Y Cyrff sy'n gysylltiedig cysylltiadau.","http://www.ycyrffrgroupie.co.uk/images/title.JPG",NULL,"Added to the database",NULL,"2012-08-18 21:27:22",
"/me.html",,"Me landing page
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-18 21:27:22",
"/new.html",,"Y Cyrff,new, newydd
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-07-04 17:34:27",
"/privacyandcookies.html","Privacy and Cookies Policy
","Y Cyrff, Privacy and Cookies Policy
","Privacy and cookies policy for www.ycyrffgroupie.co.uk",NULL,"Privacy and Cookies Policy
","Privacy and cookies policy for www.ycyrffgroupie.co.uk","http://www.ycyrffrgroupie.co.uk/images/title.JPG",NULL,"Added to the database",NULL,"2012-08-14 17:33:17","<link rel=\"stylesheet\" type=\"text/css\" href=\"/css/table.css\"> <link rel=\"stylesheet\" type=\"text/css\" href=\"/css/other.css\">  <script type=\"text/javascript\" src=\"http://ajax.googleapis.com/ajax/libs/jquery/1.6.2/jquery.min.js\"> </script> <script type=\"text/javascript\" src=\"/includes/javascript/cookie.js\">   </script> <script type=\"text/javascript\">     window._idl = {};     _idl.variant = \"banner\";     (function() {         var idl = document.createElement('script');         idl.type = 'text/javascript';         idl.async = true;         idl.src = ('https:' == document.location.protocol ? 'https://' : 'http://') + 'members.internetdefenseleague.org/include/?url=' + (_idl.url || '') + '&campaign=' + (_idl.campaign || '') + '&variant=' + (_idl.variant || 'banner');         document.getElementsByTagName('body')[0].appendChild(idl);     })(); </script>"
"/singles.html","Singles/Senglau
","Y Cyrff, Y Cyrff Singles, Y Cyrff senglau
","Y Cyrff's single discography.
","Discograffi sengl Y Cyrff.","Singles/Senglau
","Y Cyrff's single discography. Discograffi sengl Y Cyrff.","http://www.ycyrffrgroupie.co.uk/images/title.JPG",NULL,"Added to the database",NULL,"2012-08-18 21:27:23","<link rel=\"stylesheet\" type=\"text/css\" href=\"css/table.css\">"
"/sitemap.html","Sitemap / Map o we safle
","Y Cyrff, sitemap
","Sitemap for www.ycyrffgroupie.co.uk.
","Map o www.ycyrffgroupie.co.uk.","Me / Fi
","Sitemap for www.ycyrffgroupie.co.uk.Map o www.ycyrffgroupie.co.uk.","http://www.ycyrffrgroupie.co.uk/images/title.JPG",NULL,"Added to the database",NULL,"2012-08-18 21:27:23",
"/thankyou.html","Thank You / Diolch
","Y Cyrff, Thank you, diolch
","People I would like to thank who has helped with the site.","Pobl hoffwn ddiolch sydd wedi helpu eto'r safle.","Thank You / Diolch
","People I would like to thank who has helped with the site. Pobl hoffwn ddiolch sydd wedi helpu eto'r safle.",NULL,NULL,NULL,NULL,"2012-08-18 21:27:23",
"/Images/pummunud.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:29",
"/Images/cyrff19.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:19",
"/Images/rasal12.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:30",
"/Images/cyrff17.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:20",
"/Images/cyrff20.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:19",
"/Images/cyrff15.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:20",
"/Images/cyrff3.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:08",
"/Images/bandmemberspic.html","Individual Band Members Pictures/ LLuniau o Aelodau Unigol o Band 
","Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.","Individual Band Members Pictures/ LLuniau o Aelodau Unigol o Band 
","One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-18 22:08:34",
"/Images/mark6.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:25",
"/Images/untitled12.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:33",
"/Images/cyrff7.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:18",
"/Images/pum_munud.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-06-27 13:39:32",
"/Images/mark2.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:21",
"/Images/cyrff2.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:18",
"/Images/cyrff21.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:19",
"/Images/mark4.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:23",
"/Images/cyrff10.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:18",
"/Images/barrymarine.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:07:43",
"/Images/cyrff14.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:20",
"/Images/paul2.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:27",
"/Images/cyrff4.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:12",
"/Images/ankst3.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:07:33",
"/Images/coverart.html","Cover Art / Celf y Clawr
","Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.","Cover Art / Celf y Clawr
","One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-18 22:08:41",
"/Images/mark_barry.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-06-27 13:38:31",
"/Images/bandpic.html","Band Pictures/ LLuniau o y band
","Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.","Band Pictures/ LLuniau o y band
","One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-20 08:34:04",
"/Images/cyrff22.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:19",
"/Images/markbarry.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:26",
"/Images/cyrff16.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:20",
"/Images/cyrff11.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:18",
"/Images/barry2.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:07:39",
"/Images/yrhaint.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:35",
"/Images/awdloanobaith.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:07:34",
"/Images/ankst1.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:07:31",
"/Images/cyrff18.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:17",
"/Images/index.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-18 22:08:41",
"/Images/cyrff.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:19",
"/Images/cyrff5.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:12",
"/Images/barry.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:07:38",
"/Images/hwylfawrheulwen.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-11 13:08:19",
"/Images/band_members_pic.html",,"Y Cyrff, Y Cyrff Links
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-06-27 13:24:23",
"/Images/cyrff8.html",,"Y Cyrff, Y Cyrff picture
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-19 18:09:14",
